CustomerID,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,recency,frequency,monetaryValue,recency_log,frequency_log,monetaryValue_log,cluster
12348,4,227.44,892.8,449.31,1797.24,0.0,41.95321715519352,20.030713761100355,38.01606908370613,0.0,44.0,4,1797.24,3.784189633918261,1.3862943611198906,7.494007433792304,5
12350,1,334.4,334.4,334.4,334.4,0.0,48.44497607655503,11.961722488038278,11.692583732057415,27.900717703349287,279.0,1,334.4,5.631211781821365,0.0,5.812337881210547,1
12353,1,89.0,89.0,89.0,89.0,67.07865168539325,13.03370786516854,0.0,0.0,19.887640449438205,173.0,1,89.0,5.153291594497779,0.0,4.48863636973214,6
12354,1,1079.4,1079.4,1079.4,1079.4,16.23587178061886,32.62182694089309,26.811191402631092,14.950898647396702,9.380211228460256,201.0,1,1079.4,5.303304908059076,0.0,6.984160610184542,1
12355,1,459.4,459.4,459.4,459.4,4.331737048323901,53.28689595124075,30.822812363952984,0.0,11.558554636482372,183.0,1,459.4,5.209486152841421,0.0,6.129921290254998,1
12356,2,481.46000000000004,2271.62,1376.54,2753.08,13.46419283130167,28.65699507460735,30.576663228093626,14.44745521379691,12.854693652200444,214.0,2,2753.08,5.365976015021851,0.6931471805599453,7.920475563928533,1
12358,1,484.86,484.86,484.86,484.86,66.28717567957762,10.469001361217671,19.59328465948934,0.0,3.650538299715382,119.0,1,484.86,4.77912349311153,0.0,6.183860189473411,6
12361,1,189.9,189.9,189.9,189.9,0.0,73.45971563981041,7.898894154818326,0.0,18.64139020537125,256.0,1,189.9,5.545177444479562,0.0,5.24649761781824,1
12363,2,252.9,299.1,276.0,552.0,8.641304347826088,37.5,5.380434782608696,17.934782608695652,30.543478260869566,78.0,2,552.0,4.356708826689592,0.6931471805599453,6.313548046277095,1
12364,3,79.8,623.92,334.26,1002.78,3.2609346018069774,35.5890624065099,14.61437204571292,43.29962703683759,3.236003909132612,9.0,3,1002.78,2.19722457733622,1.0986122886681098,6.910531421928889,5
12365,2,320.69,320.69,320.69,641.38,0.0,22.95051295643768,59.70563472512394,0.785805606660638,16.55804671177773,260.0,2,641.38,5.560681631015528,0.6931471805599453,6.463622104983058,0
12371,2,360.0,1527.96,943.98,1887.96,5.940274158350813,13.522532257039344,50.68168817135956,2.675904150511663,27.17960126273862,13.0,2,1887.96,2.5649493574615367,0.6931471805599453,7.543252160040332,0
12372,3,383.12,515.7,432.68,1298.04,6.1246186558195435,46.57021355274106,16.386243875381343,11.112138300822778,19.80678561523528,40.0,3,1298.04,3.688879454113936,1.0986122886681098,7.168610713430199,1
12373,1,364.6,364.6,364.6,364.6,0.0,23.53263850795392,15.825562260010969,13.98793198025233,46.65386725178278,280.0,1,364.6,5.634789603169249,0.0,5.8988008622445625,7
12375,1,230.3,230.3,230.3,230.3,13.808076422058186,0.0,38.99261832392531,11.07251411202779,36.12679114198871,67.0,1,230.3,4.204692619390966,0.0,5.439382806826639,0
12377,2,626.6,1001.52,814.06,1628.12,6.6518438444340715,27.65766651106798,34.008549738348535,12.279193179863892,19.40274672628553,284.0,2,1628.12,5.648974238161206,0.6931471805599453,7.395181253919741,1
