,timestamp,mean_hash_rate,active_addr_num,addr_with_non_zero_balance_num,addr_with_balance_0_01_num,addr_with_balance_0_1_num,addr_with_balance_1_num,addr_with_balance_10_num,addr_with_balance_100_num,addr_with_balance_10k_num,addr_with_balance_1k_num,new_addr_num,sending_addr_num,price_usd_num,total_transfer_vol_bw_exchanges_btc_from_all_exchanges_to_all_exchanges,total_transfer_vol_within_exchanges_btc_all_exchanges,ethereum_price_usd_num
0,2009-01-03 00:00:00+00:00,,0,1,1,1,1,1,0,0,0,1,0,,,,
1,2009-01-04 00:00:00+00:00,,0,1,1,1,1,1,0,0,0,0,0,,,,
2,2009-01-05 00:00:00+00:00,,0,1,1,1,1,1,0,0,0,0,0,,,,
3,2009-01-06 00:00:00+00:00,,0,1,1,1,1,1,0,0,0,0,0,,,,
4,2009-01-07 00:00:00+00:00,,0,1,1,1,1,1,0,0,0,0,0,,,,
5,2009-01-08 00:00:00+00:00,,0,1,1,1,1,1,0,0,0,0,0,,,,
6,2009-01-09 00:00:00+00:00,128185.0205,0,15,15,15,15,15,0,0,0,14,0,,,,
7,2009-01-10 00:00:00+00:00,1676937.683,0,76,76,76,76,76,0,0,0,61,0,,,,
8,2009-01-11 00:00:00+00:00,4679435.777,0,169,169,169,169,169,0,0,0,93,0,,,,
9,2009-01-12 00:00:00+00:00,4653054.489,8,268,268,268,268,266,0,0,0,101,3,,,,
10,2009-01-13 00:00:00+00:00,6070590.274,0,391,391,391,391,389,0,0,0,123,0,,,,
11,2009-01-14 00:00:00+00:00,6434818.949,4,518,518,518,518,517,0,0,0,130,3,,,,
12,2009-01-15 00:00:00+00:00,6294675.933,14,643,643,643,643,641,1,0,0,132,11,,,,
13,2009-01-16 00:00:00+00:00,5328131.452,6,749,749,749,749,747,3,0,0,110,4,,,,
14,2009-01-17 00:00:00+00:00,5410403.976,0,858,858,858,858,856,3,0,0,109,0,,,,
15,2009-01-18 00:00:00+00:00,5333196.016,4,963,963,963,963,961,4,0,0,108,3,,,,
16,2009-01-19 00:00:00+00:00,5758671.319,18,1063,1063,1063,1063,1061,5,0,0,116,16,,,,
17,2009-01-20 00:00:00+00:00,5619555.736,9,1170,1170,1170,1170,1168,6,0,0,115,8,,,,
18,2009-01-21 00:00:00+00:00,5784162.244,3,1271,1271,1271,1271,1269,7,0,0,103,2,,,,
19,2009-01-22 00:00:00+00:00,4016793.323,11,1352,1352,1352,1352,1350,7,0,0,91,10,,,,
20,2009-01-23 00:00:00+00:00,4174599.672,11,1428,1428,1428,1428,1426,8,0,1,85,9,,,,
21,2009-01-24 00:00:00+00:00,10013901.41,11,1620,1620,1620,1620,1618,9,0,1,202,10,,,,
22,2009-01-25 00:00:00+00:00,9527301.328,2,1811,1811,1811,1811,1809,9,0,1,192,1,,,,
23,2009-01-26 00:00:00+00:00,4764961.233,21,1887,1887,1887,1887,1885,9,0,1,96,20,,,,
24,2009-01-27 00:00:00+00:00,4818159.85,4,1982,1982,1982,1982,1980,10,0,1,98,3,,,,
25,2009-01-28 00:00:00+00:00,5551038.429,0,2094,2094,2094,2094,2092,10,0,1,112,0,,,,
26,2009-01-29 00:00:00+00:00,6043270.455,13,2203,2203,2203,2203,2201,10,0,1,121,12,,,,
27,2009-01-30 00:00:00+00:00,5825608.616,0,2320,2320,2320,2320,2318,10,0,1,117,0,,,,
28,2009-01-31 00:00:00+00:00,6808950.083,21,2439,2439,2439,2439,2437,11,0,2,139,20,,,,
29,2009-02-01 00:00:00+00:00,5649167.805,3,2551,2551,2551,2551,2549,12,0,2,114,2,,,,
30,2009-02-02 00:00:00+00:00,6345874.664,2,2679,2679,2679,2679,2677,12,0,2,129,1,,,,
31,2009-02-03 00:00:00+00:00,6892098.384,15,2827,2827,2820,2820,2818,12,0,2,149,5,,,,
32,2009-02-04 00:00:00+00:00,5935168.593,0,2946,2946,2939,2939,2937,12,0,2,119,0,,,,
33,2009-02-05 00:00:00+00:00,6243765.409,0,3072,3072,3065,3065,3063,12,0,2,126,0,,,,
34,2009-02-06 00:00:00+00:00,6075975.024,0,3194,3194,3187,3187,3185,12,0,2,122,0,,,,
35,2009-02-07 00:00:00+00:00,6425937.778,27,3304,3304,3297,3297,3294,15,0,2,133,23,,,,
36,2009-02-08 00:00:00+00:00,6548794.435,2,3436,3436,3429,3429,3426,15,0,2,133,1,,,,
37,2009-02-09 00:00:00+00:00,6647327.531,45,3526,3526,3519,3519,3516,15,0,2,134,44,,,,
38,2009-02-10 00:00:00+00:00,5988451.467,0,3646,3646,3639,3639,3636,15,0,2,120,0,,,,
39,2009-02-11 00:00:00+00:00,6607336.276,16,3767,3767,3763,3763,3760,17,0,2,135,14,,,,
40,2009-02-12 00:00:00+00:00,5952518.643,0,3886,3886,3882,3882,3879,17,0,2,119,0,,,,
41,2009-02-13 00:00:00+00:00,6102763.266,0,4010,4010,4006,4006,4003,17,0,2,124,0,,,,
42,2009-02-14 00:00:00+00:00,6779979.249,0,4146,4146,4142,4142,4139,17,0,2,136,0,,,,
43,2009-02-15 00:00:00+00:00,6357395.94,14,4264,4264,4260,4260,4257,18,0,2,131,13,,,,
44,2009-02-16 00:00:00+00:00,6063319.526,31,4356,4356,4352,4352,4349,18,0,2,122,30,,,,
45,2009-02-17 00:00:00+00:00,5806424.173,0,4473,4473,4469,4469,4466,18,0,2,117,0,,,,
46,2009-02-18 00:00:00+00:00,5893711.446,0,4591,4591,4587,4587,4584,18,0,2,118,0,,,,
47,2009-02-19 00:00:00+00:00,6173505.178,17,4699,4699,4695,4695,4692,18,0,2,124,16,,,,
48,2009-02-20 00:00:00+00:00,6043528.524,0,4821,4821,4817,4817,4814,18,0,2,122,0,,,,
49,2009-02-21 00:00:00+00:00,5672485.654,0,4935,4935,4931,4931,4928,18,0,2,114,0,,,,
50,2009-02-22 00:00:00+00:00,6017031.872,12,5049,5049,5045,5045,5042,19,0,2,125,11,,,,
51,2009-02-23 00:00:00+00:00,5388228.977,0,5157,5157,5153,5153,5150,19,0,2,108,0,,,,
52,2009-02-24 00:00:00+00:00,5254631.564,0,5263,5263,5259,5259,5256,19,0,2,106,0,,,,
53,2009-02-25 00:00:00+00:00,5255650.076,0,5368,5368,5364,5364,5361,19,0,2,105,0,,,,
54,2009-02-26 00:00:00+00:00,5262837.551,0,5475,5475,5471,5471,5468,19,0,2,107,0,,,,
55,2009-02-27 00:00:00+00:00,5743871.324,37,5554,5554,5550,5550,5547,19,0,2,115,36,,,,
56,2009-02-28 00:00:00+00:00,4897735.006,8,5646,5646,5642,5642,5639,19,0,2,99,7,,,,
57,2009-03-01 00:00:00+00:00,5251671.861,0,5751,5751,5747,5747,5744,19,0,2,105,0,,,,
58,2009-03-02 00:00:00+00:00,5374307.357,0,5859,5859,5855,5855,5852,19,0,2,108,0,,,,
59,2009-03-03 00:00:00+00:00,5220484.645,9,5956,5956,5952,5952,5949,19,0,3,105,8,,,,
60,2009-03-04 00:00:00+00:00,5134803.986,26,6036,6036,6032,6032,6029,19,1,3,104,25,,,,
61,2009-03-05 00:00:00+00:00,5523185.721,9,6140,6140,6136,6136,6133,19,1,3,112,8,,,,
62,2009-03-06 00:00:00+00:00,5824865.812,0,6257,6257,6253,6253,6250,19,1,3,117,0,,,,
