CustomerID,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,recency,frequency,monetaryValue,recency_log,frequency_log,monetaryValue_log,cluster
12346,1,77183.6,77183.6,77183.6,77183.6,0.0,100.0,0.0,0.0,0.0,294.0,1,77183.6,5.683579767338681,0.0,11.253942278212149,3
12347,6,382.52,1294.32,680.8633333333333,4085.18,7.288295742170481,25.359959659060312,35.847624829260894,10.91114712203624,20.59297264747208,8.0,6,4085.18,2.079441541679836,1.791759469228055,8.31512106997082,2
12348,4,227.44,892.8,449.31,1797.24,0.0,41.95321715519352,20.030713761100355,38.01606908370613,0.0,44.0,4,1797.24,3.784189633918261,1.3862943611198906,7.494007433792304,5
12350,1,334.4,334.4,334.4,334.4,0.0,48.44497607655503,11.961722488038278,11.692583732057415,27.900717703349287,279.0,1,334.4,5.631211781821365,0.0,5.812337881210547,1
12352,8,120.33,840.3,313.255,2506.04,13.986209318287019,17.7475219868797,61.74083414470639,1.2370113805047007,5.2884231696221935,5.0,8,2506.04,1.6094379124341005,2.079441541679836,7.8264590970205665,2
12353,1,89.0,89.0,89.0,89.0,67.07865168539325,13.03370786516854,0.0,0.0,19.887640449438205,173.0,1,89.0,5.153291594497779,0.0,4.48863636973214,6
12354,1,1079.4,1079.4,1079.4,1079.4,16.23587178061886,32.62182694089309,26.811191402631092,14.950898647396702,9.380211228460256,201.0,1,1079.4,5.303304908059076,0.0,6.984160610184542,1
12355,1,459.4,459.4,459.4,459.4,4.331737048323901,53.28689595124075,30.822812363952984,0.0,11.558554636482372,183.0,1,459.4,5.209486152841421,0.0,6.129921290254998,1
12356,2,481.46000000000004,2271.62,1376.54,2753.08,13.46419283130167,28.65699507460735,30.576663228093626,14.44745521379691,12.854693652200444,214.0,2,2753.08,5.365976015021851,0.6931471805599453,7.920475563928533,1
12357,1,6207.67,6207.67,6207.67,6207.67,26.83212864085881,18.098578049413064,34.91777107997042,5.089832416993816,15.06168981276389,2.0,1,6207.67,0.6931471805599453,0.0,8.733540903233665,2
12358,1,484.86,484.86,484.86,484.86,66.28717567957762,10.469001361217671,19.59328465948934,0.0,3.650538299715382,119.0,1,484.86,4.77912349311153,0.0,6.183860189473411,6
12359,4,547.5,2814.3,1577.5075,6310.03,22.96423313359842,10.325465964504131,52.85394839644185,2.477959692743141,11.378392812712459,26.0,4,6372.58,3.258096538021482,1.3862943611198906,8.759759690114192,2
